,model,scenario,region,variable,item,unit,year,value,BAU_ref_year,percent_change_BAU_ref_year,diff_BAU_ref_year,percent_change_BAU,diff_BAU,percent_change_ELM,diff_ELM
51,GLOBIOM,BAU_WAST,WLD,AREA,LSP,1000 ha,2050.0,1943676.931,2020.0,9.582195042312994,169960.92700000014,-1.583595553436851,-31275.25499999989,78.37801043366358,854037.6160000002
52,GLOBIOM,EL2,WLD,AREA,LSP,1000 ha,2020.0,1773716.004,2020.0,0.0,0.0,0.0,0.0,0.1415836326188097,2507.7409999999218
53,GLOBIOM,EL2,WLD,AREA,LSP,1000 ha,2050.0,1482689.026,2020.0,-16.40775509403364,-291026.9779999999,-24.925320394566754,-492263.1599999999,36.071542719620034,393049.7110000001
54,GLOBIOM,ELM,WLD,AREA,LSP,1000 ha,2020.0,1771208.263,2020.0,-0.1413834567847718,-2507.7409999999218,-0.1413834567847718,-2507.7409999999218,0.0,0.0
55,GLOBIOM,ELM,WLD,AREA,LSP,1000 ha,2050.0,1089639.315,2020.0,-38.5674306065516,-684076.689,-44.82705339783857,-885312.871,0.0,0.0
56,GLOBIOM,BAU,WLD,AREA,RUM,1000 ha,2020.0,1221286.487,2020.0,0.0,0.0,0.0,0.0,0.2895028582430384,3525.4529999999795
57,GLOBIOM,BAU,WLD,AREA,RUM,1000 ha,2050.0,1331973.868,2020.0,9.063179047521883,110687.38100000004,0.0,0.0,98.31673605129689,660334.1998000001
58,GLOBIOM,BAU_DIET,WLD,AREA,RUM,1000 ha,2020.0,1221286.487,2020.0,0.0,0.0,0.0,0.0,0.2895028582430384,3525.4529999999795
59,GLOBIOM,BAU_DIET,WLD,AREA,RUM,1000 ha,2050.0,896964.7236,2020.0,-26.555748127261474,-324321.76339999994,-32.65898489834336,-435009.1444,33.54850317341636,225325.05540000007
60,GLOBIOM,BAU_MITI,WLD,AREA,RUM,1000 ha,2020.0,1217761.034,2020.0,-0.2886671585681746,-3525.4529999999795,-0.2886671585681746,-3525.4529999999795,0.0,0.0
61,GLOBIOM,BAU_MITI,WLD,AREA,RUM,1000 ha,2050.0,870640.5462,2020.0,-28.71119467319546,-350645.9408,-34.63531326577047,-461333.3218,29.62911326147904,199000.87800000003
62,GLOBIOM,BAU_PROD,WLD,AREA,RUM,1000 ha,2020.0,1221286.487,2020.0,0.0,0.0,0.0,0.0,0.2895028582430384,3525.4529999999795
63,GLOBIOM,BAU_PROD,WLD,AREA,RUM,1000 ha,2050.0,1339331.973,2020.0,9.665667086022548,118045.48600000003,0.5524211230246134,7358.104999999981,99.4122795917372,667692.3048
64,GLOBIOM,BAU_WAST,WLD,AREA,RUM,1000 ha,2020.0,1221286.487,2020.0,0.0,0.0,0.0,0.0,0.2895028582430384,3525.4529999999795
65,GLOBIOM,BAU_WAST,WLD,AREA,RUM,1000 ha,2050.0,1322904.057,2020.0,8.320535032661839,101617.57000000008,-0.6809301006496914,-9069.810999999989,96.9663377008976,651264.3888000001
66,GLOBIOM,EL2,WLD,AREA,RUM,1000 ha,2020.0,1221286.487,2020.0,0.0,0.0,0.0,0.0,0.2895028582430384,3525.4529999999795
67,GLOBIOM,EL2,WLD,AREA,RUM,1000 ha,2050.0,901611.7798,2020.0,-26.175243122951215,-319674.70719999995,-32.31009996060974,-430362.0882,34.240400394504285,229972.1116000001
68,GLOBIOM,ELM,WLD,AREA,RUM,1000 ha,2020.0,1217761.034,2020.0,-0.2886671585681746,-3525.4529999999795,-0.2886671585681746,-3525.4529999999795,0.0,0.0
69,GLOBIOM,ELM,WLD,AREA,RUM,1000 ha,2050.0,671639.6682,2020.0,-45.00555968241054,-549646.8188,-49.57561222965375,-660334.1998000001,0.0,0.0
70,GLOBIOM,BAU,WLD,AREA,VFN,1000 ha,2020.0,83580.93137,2020.0,0.0,0.0,0.0,0.0,0.4590435418499309,381.9196900000097
71,GLOBIOM,BAU,WLD,AREA,VFN,1000 ha,2050.0,93190.58329,2020.0,11.49742143630768,9609.65191999999,0.0,0.0,10.504113082011347,8858.352849999996
72,GLOBIOM,BAU_DIET,WLD,AREA,VFN,1000 ha,2020.0,83580.93137,2020.0,0.0,0.0,0.0,0.0,0.4590435418499309,381.9196900000097
73,GLOBIOM,BAU_DIET,WLD,AREA,VFN,1000 ha,2050.0,93245.16526,2020.0,11.562725769611136,9664.233889999989,0.0585702632959657,54.581969999999274,10.568835631996354,8912.934819999995
74,GLOBIOM,BAU_MITI,WLD,AREA,VFN,1000 ha,2020.0,83199.01168,2020.0,-0.4569459609265535,-381.9196900000097,-0.4569459609265535,-381.9196900000097,0.0,0.0
75,GLOBIOM,BAU_MITI,WLD,AREA,VFN,1000 ha,2050.0,84661.88501,2020.0,1.2933017403392837,1080.9536399999924,-9.151888505150268,-8528.698279999997,0.3908998591404963,329.6545699999988
76,GLOBIOM,BAU_PROD,WLD,AREA,VFN,1000 ha,2020.0,83580.93137,2020.0,0.0,0.0,0.0,0.0,0.4590435418499309,381.9196900000097
77,GLOBIOM,BAU_PROD,WLD,AREA,VFN,1000 ha,2050.0,89001.23366,2020.0,6.485094388342172,5420.302289999992,-4.49546454384039,-4189.349629999997,5.536439858924237,4669.003219999999
78,GLOBIOM,BAU_WAST,WLD,AREA,VFN,1000 ha,2020.0,83580.93137,2020.0,0.0,0.0,0.0,0.0,0.4590435418499309,381.9196900000097
79,GLOBIOM,BAU_WAST,WLD,AREA,VFN,1000 ha,2050.0,81097.10992,2020.0,-2.971756128206451,-2483.821450000003,-12.977140976107302,-12093.473369999992,-3.836161457038295,-3235.1205199999968
80,GLOBIOM,EL2,WLD,AREA,VFN,1000 ha,2020.0,83580.93137,2020.0,0.0,0.0,0.0,0.0,0.4590435418499309,381.9196900000097
81,GLOBIOM,EL2,WLD,AREA,VFN,1000 ha,2050.0,86063.50757,2020.0,2.9702662548829593,2482.576199999996,-7.64784967363197,-7127.075719999993,2.05292463031884,1731.2771300000022
82,GLOBIOM,ELM,WLD,AREA,VFN,1000 ha,2020.0,83199.01168,2020.0,-0.4569459609265535,-381.9196900000097,-0.4569459609265535,-381.9196900000097,0.0,0.0
83,GLOBIOM,ELM,WLD,AREA,VFN,1000 ha,2050.0,84332.23044,2020.0,0.8988881287695965,751.2990699999937,-9.505630866622722,-8858.352849999996,0.0,0.0
84,GLOBIOM,BAU,WLD,CALI,AGR,kcal/cap/d,2020.0,1639.339969,2020.0,0.0,0.0,0.0,0.0,0.0546026761732721,0.8946350000001075
85,GLOBIOM,BAU,WLD,CALI,AGR,kcal/cap/d,2050.0,1733.327148,2020.0,5.733232933821061,93.98717899999995,0.0,0.0,62.7612446788175,668.3763660000002
86,GLOBIOM,BAU_DIET,WLD,CALI,AGR,kcal/cap/d,2020.0,1639.339969,2020.0,0.0,0.0,0.0,0.0,0.0546026761732721,0.8946350000001075
87,GLOBIOM,BAU_DIET,WLD,CALI,AGR,kcal/cap/d,2050.0,1223.125032,2020.0,-25.389177648971245,-416.2149370000002,-29.434842498641817,-510.20211600000016,14.852728658778528,158.17425000000003
88,GLOBIOM,BAU_MITI,WLD,CALI,AGR,kcal/cap/d,2020.0,1638.445334,2020.0,-0.0545728779214622,-0.8946350000001075,-0.0545728779214622,-0.8946350000001075,0.0,0.0
89,GLOBIOM,BAU_MITI,WLD,CALI,AGR,kcal/cap/d,2050.0,1596.313318,2020.0,-2.62463258467653,-43.02665100000013,-7.904672245980428,-137.0138300000001,49.89550174347871,531.3625360000001
90,GLOBIOM,BAU_PROD,WLD,CALI,AGR,kcal/cap/d,2020.0,1639.339969,2020.0,0.0,0.0,0.0,0.0,0.0546026761732721,0.8946350000001075
91,GLOBIOM,BAU_PROD,WLD,CALI,AGR,kcal/cap/d,2050.0,1749.29929,2020.0,6.707536147433481,109.95932099999982,0.921473019010249,15.972141999999849,64.26104563393805,684.348508
92,GLOBIOM,BAU_WAST,WLD,CALI,AGR,kcal/cap/d,2020.0,1639.339969,2020.0,0.0,0.0,0.0,0.0,0.0546026761732721,0.8946350000001075
93,GLOBIOM,BAU_WAST,WLD,CALI,AGR,kcal/cap/d,2050.0,1629.56374,2020.0,-0.5963515307909909,-9.776229000000058,-5.986371823676071,-103.76340800000004,53.01775138750029,564.6129580000002
94,GLOBIOM,EL2,WLD,CALI,AGR,kcal/cap/d,2020.0,1639.339969,2020.0,0.0,0.0,0.0,0.0,0.0546026761732721,0.8946350000001075
95,GLOBIOM,EL2,WLD,CALI,AGR,kcal/cap/d,2050.0,1167.148263,2020.0,-28.803769500479987,-472.19170600000007,-32.66428300354527,-566.178885,9.596451096835777,102.19748100000017
96,GLOBIOM,ELM,WLD,CALI,AGR,kcal/cap/d,2020.0,1638.445334,2020.0,-0.0545728779214622,-0.8946350000001075,-0.0545728779214622,-0.8946350000001075,0.0,0.0
97,GLOBIOM,ELM,WLD,CALI,AGR,kcal/cap/d,2050.0,1064.950782,2020.0,-35.037832167929054,-574.3891870000002,-38.56031256253076,-668.3763660000002,0.0,0.0
98,GLOBIOM,BAU,WLD,CALI,CRP,kcal/cap/d,2020.0,1284.423373,2020.0,0.0,0.0,0.0,0.0,0.0582552960399103,0.7478090000001885
99,GLOBIOM,BAU,WLD,CALI,CRP,kcal/cap/d,2050.0,1331.295813,2020.0,3.649298275421516,46.87243999999987,0.0,0.0,58.88172437096374,493.37954649999995
100,GLOBIOM,BAU_DIET,WLD,CALI,CRP,kcal/cap/d,2020.0,1284.423373,2020.0,0.0,0.0,0.0,0.0,0.0582552960399103,0.7478090000001885
101,GLOBIOM,BAU_DIET,WLD,CALI,CRP,kcal/cap/d,2050.0,969.9616188,2020.0,-24.48271814499284,-314.4617542000001,-27.14154064570771,-361.3341942,15.758776572217316,132.0453523
102,GLOBIOM,BAU_MITI,WLD,CALI,CRP,kcal/cap/d,2020.0,1283.675564,2020.0,-0.0582213790032134,-0.7478090000001885,-0.0582213790032134,-0.7478090000001885,0.0,0.0
103,GLOBIOM,BAU_MITI,WLD,CALI,CRP,kcal/cap/d,2050.0,1242.558927,2020.0,-3.2593961523931285,-41.86444600000005,-6.665452195784824,-88.73688599999991,48.29153898517855,404.6426605
104,GLOBIOM,BAU_PROD,WLD,CALI,CRP,kcal/cap/d,2020.0,1284.423373,2020.0,0.0,0.0,0.0,0.0,0.0582552960399103,0.7478090000001885
105,GLOBIOM,BAU_PROD,WLD,CALI,CRP,kcal/cap/d,2050.0,1345.716849,2020.0,4.772061711773274,61.29347599999983,1.08323303199632,14.421035999999958,60.60278369115536,507.8005824999999
106,GLOBIOM,BAU_WAST,WLD,CALI,CRP,kcal/cap/d,2020.0,1284.423373,2020.0,0.0,0.0,0.0,0.0,0.0582552960399103,0.7478090000001885
107,GLOBIOM,BAU_WAST,WLD,CALI,CRP,kcal/cap/d,2050.0,1234.797085,2020.0,-3.8637017235282087,-49.62628800000016,-7.248481296019822,-96.49872800000004,47.365212297140665,396.8808184999999
108,GLOBIOM,EL2,WLD,CALI,CRP,kcal/cap/d,2020.0,1284.423373,2020.0,0.0,0.0,0.0,0.0,0.0582552960399103,0.7478090000001885
109,GLOBIOM,EL2,WLD,CALI,CRP,kcal/cap/d,2050.0,912.3556984,2020.0,-28.96768171782561,-372.0676746,-31.468597024724502,-418.9401145999999,8.883874782731652,74.43943190000005
110,GLOBIOM,ELM,WLD,CALI,CRP,kcal/cap/d,2020.0,1283.675564,2020.0,-0.0582213790032134,-0.7478090000001885,-0.0582213790032134,-0.7478090000001885,0.0,0.0
111,GLOBIOM,ELM,WLD,CALI,CRP,kcal/cap/d,2050.0,837.9162665,2020.0,-34.76323429533231,-446.5071065000001,-37.06009901647606,-493.37954649999995,0.0,0.0
112,GLOBIOM,BAU,WLD,CALI,LSP,kcal/cap/d,2020.0,354.9165959,2020.0,0.0,0.0,0.0,0.0,0.041386023298691,0.1468251000000009
113,GLOBIOM,BAU,WLD,CALI,LSP,kcal/cap/d,2050.0,402.0313354,2020.0,13.274876420057533,47.114739499999985,0.0,0.0,77.07939011590508,174.9968199
114,GLOBIOM,BAU_DIET,WLD,CALI,LSP,kcal/cap/d,2020.0,354.9165959,2020.0,0.0,0.0,0.0,0.0,0.041386023298691,0.1468251000000009
115,GLOBIOM,BAU_DIET,WLD,CALI,LSP,kcal/cap/d,2050.0,253.1634137,2020.0,-28.66960389439484,-101.7531822,-37.0289349589838,-148.86792169999998,11.508777924121413,26.12889820000001
116,GLOBIOM,BAU_MITI,WLD,CALI,LSP,kcal/cap/d,2020.0,354.7697708,2020.0,-0.0413689023551239,-0.1468251000000009,-0.0413689023551239,-0.1468251000000009,0.0,0.0
117,GLOBIOM,BAU_MITI,WLD,CALI,LSP,kcal/cap/d,2050.0,353.7543907,2020.0,-0.3274586799901223,-1.1622052000000167,-12.008254195401706,-48.2769447,55.815246823120155,126.7198752
118,GLOBIOM,BAU_PROD,WLD,CALI,LSP,kcal/cap/d,2020.0,354.9165959,2020.0,0.0,0.0,0.0,0.0,0.041386023298691,0.1468251000000009
119,GLOBIOM,BAU_PROD,WLD,CALI,LSP,kcal/cap/d,2050.0,403.5824411,2020.0,13.711910280383702,48.66584519999998,0.3858171150904755,1.5511056999999937,77.76259271027007,176.5479256
120,GLOBIOM,BAU_WAST,WLD,CALI,LSP,kcal/cap/d,2020.0,354.9165959,2020.0,0.0,0.0,0.0,0.0,0.041386023298691,0.1468251000000009
121,GLOBIOM,BAU_WAST,WLD,CALI,LSP,kcal/cap/d,2050.0,394.7666553,2020.0,11.22800676563122,39.85005940000002,-1.806993500337975,-7.264680099999964,73.87957704607255,167.73213980000003
122,GLOBIOM,EL2,WLD,CALI,LSP,kcal/cap/d,2020.0,354.9165959,2020.0,0.0,0.0,0.0,0.0,0.041386023298691,0.1468251000000009
123,GLOBIOM,EL2,WLD,CALI,LSP,kcal/cap/d,2050.0,254.792565,2020.0,-28.21058019169399,-100.1240309,-36.623705028739906,-147.2387704,12.226356613164398,27.7580495
124,GLOBIOM,ELM,WLD,CALI,LSP,kcal/cap/d,2020.0,354.7697708,2020.0,-0.0413689023551239,-0.1468251000000009,-0.0413689023551239,-0.1468251000000009,0.0,0.0
125,GLOBIOM,ELM,WLD,CALI,LSP,kcal/cap/d,2050.0,227.0345155,2020.0,-36.03158654097753,-127.8820804,-43.528154273319856,-174.9968199,0.0,0.0
126,GLOBIOM,BAU,WLD,CALI,RUM,kcal/cap/d,2020.0,48.53921653,2020.0,0.0,0.0,0.0,0.0,0.0290514071956074,0.0140972299999972
127,GLOBIOM,BAU,WLD,CALI,RUM,kcal/cap/d,2050.0,54.1328216,2020.0,11.523888249293922,5.593605070000002,0.0,0.0,102.82743614244345,27.44371946
128,GLOBIOM,BAU_DIET,WLD,CALI,RUM,kcal/cap/d,2020.0,48.53921653,2020.0,0.0,0.0,0.0,0.0,0.0290514071956074,0.0140972299999972
129,GLOBIOM,BAU_DIET,WLD,CALI,RUM,kcal/cap/d,2050.0,28.38116324,2020.0,-41.52941627630346,-20.15805329,-47.57124716366161,-25.75165836,6.339895179403738,1.6920611
130,GLOBIOM,BAU_MITI,WLD,CALI,RUM,kcal/cap/d,2020.0,48.5251193,2020.0,-0.0290429698041879,-0.0140972299999972,-0.0290429698041879,-0.0140972299999972,0.0,0.0
131,GLOBIOM,BAU_MITI,WLD,CALI,RUM,kcal/cap/d,2050.0,42.49174951,2020.0,-12.458930020558368,-6.047467019999999,-21.50464680377939,-11.641072090000002,59.21011237884978,15.80264737
132,GLOBIOM,BAU_PROD,WLD,CALI,RUM,kcal/cap/d,2020.0,48.53921653,2020.0,0.0,0.0,0.0,0.0,0.0290514071956074,0.0140972299999972
133,GLOBIOM,BAU_PROD,WLD,CALI,RUM,kcal/cap/d,2050.0,54.22640818,2020.0,11.71669436914993,5.687191650000003,0.1728832476007498,0.0935865800000002,103.1780908010718,27.53730604
134,GLOBIOM,BAU_WAST,WLD,CALI,RUM,kcal/cap/d,2020.0,48.53921653,2020.0,0.0,0.0,0.0,0.0,0.0290514071956074,0.0140972299999972
135,GLOBIOM,BAU_WAST,WLD,CALI,RUM,kcal/cap/d,2050.0,53.90102501,2020.0,11.046343273147183,5.3618084800000005,-0.4281997190406972,-0.2317965900000018,101.95892963074402,27.21192287
136,GLOBIOM,EL2,WLD,CALI,RUM,kcal/cap/d,2020.0,48.53921653,2020.0,0.0,0.0,0.0,0.0,0.0290514071956074,0.0140972299999972
137,GLOBIOM,EL2,WLD,CALI,RUM,kcal/cap/d,2050.0,29.49464959,2020.0,-39.23542302795384,-19.044566939999996,-45.51429480631395,-24.63817201,10.511958908483544,2.8055474500000024
138,GLOBIOM,ELM,WLD,CALI,RUM,kcal/cap/d,2020.0,48.5251193,2020.0,-0.0290429698041879,-0.0140972299999972,-0.0290429698041879,-0.0140972299999972,0.0,0.0
139,GLOBIOM,ELM,WLD,CALI,RUM,kcal/cap/d,2050.0,26.68910214,2020.0,-45.01538333750275,-21.85011439,-50.69700534508994,-27.44371946,0.0,0.0
140,GLOBIOM,BAU,WLD,CALI,VFN,kcal/cap/d,2020.0,102.2659621,2020.0,0.0,0.0,0.0,0.0,0.0251520324482372,0.0257154999999897
141,GLOBIOM,BAU,WLD,CALI,VFN,kcal/cap/d,2050.0,116.0026396,2020.0,13.432306524987949,13.7366775,0.0,0.0,138.91358619622486,67.44841484999999
142,GLOBIOM,BAU_DIET,WLD,CALI,VFN,kcal/cap/d,2020.0,102.2659621,2020.0,0.0,0.0,0.0,0.0,0.0251520324482372,0.0257154999999897
143,GLOBIOM,BAU_DIET,WLD,CALI,VFN,kcal/cap/d,2050.0,58.06159263,2020.0,-43.22490940512063,-44.20436947,-49.94804184610985,-57.941046969999995,19.58092818689273,9.507367879999997
144,GLOBIOM,BAU_MITI,WLD,CALI,VFN,kcal/cap/d,2020.0,102.2402466,2020.0,-0.0251457077916541,-0.0257154999999897,-0.0251457077916541,-0.0257154999999897,0.0,0.0
145,GLOBIOM,BAU_MITI,WLD,CALI,VFN,kcal/cap/d,2050.0,114.6013228,2020.0,12.062039457408098,12.33536070000001,-1.20800423579326,-1.4013167999999894,136.02749995508887,66.04709805
